********************************************************************************
Field Output Report, written Wed Apr 16 15:17:29 2025

Source 1
---------

   ODB: C:/lnms/Vid/cross-hole/cross-hole-U.odb
   Step: loading
   Frame: Increment      0: Step Time =    0.000

Loc 1 : Integration point values from source 1

Output sorted by column "Element Label".

Field Output reported at integration points for region: SPECIMEN-1.Region_1

          Element              Int            S.S11            S.S22            S.S33            S.S12
            Label               Pt           @Loc 1           @Loc 1           @Loc 1           @Loc 1
-------------------------------------------------------------------------------------------------------
               18                2       142.237930       59.1086044               0.       15.0837374
               18                3       83.5333633       22.7803726               0.       50.0129814
               18                4       115.690567       34.3677139               0.       24.8968868
               19                1       120.900757       71.6875534               0.       14.5636530
               19                2       119.131836       75.7560272               0.       9.74143410
               19                3       114.879051       88.9561920               0.       20.0212193
               19                4       109.433571       95.7175293               0.       17.9272995
               20                1       55.9794579       109.958488               0.       31.0078335
               20                2       71.7725830       142.973709               0.       15.2054195
               20                3       38.9661827       75.2200089               0.       52.6158867
               20                4       64.9343185       128.823883               0.       34.8121872
               21                1       139.064117       104.478996               0.      -59.0807953
               21                2       115.273499       93.3998947               0.      -68.9320602
               21                3       111.609894       96.0297928               0.      -61.8086891
               21                4       86.7673340       84.5521088               0.      -69.7642822
               22                1       76.7666016       93.4855347               0.      -68.7740555
               22                2       78.8707657       110.790184               0.      -67.7651825
               22                3       90.5730820       114.257782               0.      -60.7689438
               22                4       93.4147568       131.476654               0.      -58.5646095
               23                1       50.8146362       124.726334               0.      -38.0808678
               23                2       59.1086044       142.237930               0.      -15.0837374
               23                3       22.7803726       83.5333633               0.      -50.0129814
               23                4       34.3677139       115.690567               0.      -24.8968868
               24                1       71.6875534       120.900757               0.      -14.5636530
               24                2       75.7560272       119.131836               0.      -9.74143410
               24                3       88.9561920       114.879051               0.      -20.0212193
               24                4       95.7175293       109.433571               0.      -17.9272995
               25                1       109.958488       55.9794579               0.      -31.0078335
               25                2       142.973709       71.7725830               0.      -15.2054195
               25                3       75.2200089       38.9661827               0.      -52.6158867
               25                4       128.823883       64.9343185               0.      -34.8121872
               26                1       104.478996       139.064117               0.       59.0807953
               26                2       93.3998947       115.273499               0.       68.9320602
               26                3       96.0297928       111.609894               0.       61.8086891
               26                4       84.5521088       86.7673340               0.       69.7642822
               27                1       93.4855347       76.7666016               0.       68.7740555
               27                2       110.790184       78.8707657               0.       67.7651825
               27                3       114.257782       90.5730820               0.       60.7689438
               27                4       131.476654       93.4147568               0.       58.5646095
               28                1       124.726334       50.8146362               0.       38.0808678
               28                2       142.237930       59.1086044               0.       15.0837374
               28                3       83.5333633       22.7803726               0.       50.0129814
               28                4       115.690567       34.3677139               0.       24.8968868
               29                1       120.900757       71.6875534               0.       14.5636530
               29                2       119.131836       75.7560272               0.       9.74143410
               29                3       114.879051       88.9561920               0.       20.0212193
               29                4       109.433571       95.7175293               0.       17.9272995
               30                1       55.9794579       109.958488               0.       31.0078335
               30                2       71.7725830       142.973709               0.       15.2054195
               30                3       38.9661827       75.2200089               0.       52.6158867
               30                4       64.9343185       128.823883               0.       34.8121872
               31                1       93.4147568       131.476654               0.       58.5646095
               31                2       78.8707657       110.790184               0.       67.7651825
               31                3       90.5730820       114.257782               0.       60.7689438
               31                4       76.7666016       93.4855347               0.       68.7740555
               32                1       86.7673340       84.5521088               0.       69.7642822
               32                2       115.273499       93.3998947               0.       68.9320602
               32                3       111.609894       96.0297928               0.       61.8086891
               32                4       139.064117       104.478996               0.       59.0807953
               33                1       128.823883       64.9343185               0.       34.8121872
               33                2       142.973709       71.7725830               0.       15.2054195
               33                3       75.2200089       38.9661827               0.       52.6158867
               33                4       109.958488       55.9794579               0.       31.0078335
               34                1       95.7175293       109.433571               0.       17.9272995
               34                2       75.7560272       119.131836               0.       9.74143410
               34                3       88.9561920       114.879051               0.       20.0212193
               34                4       71.6875534       120.900757               0.       14.5636530
               35                1       34.3677139       115.690567               0.       24.8968868
               35                2       59.1086044       142.237930               0.       15.0837374
               35                3       22.7803726       83.5333633               0.       50.0129814
               35                4       50.8146362       124.726334               0.       38.0808678
               36                1       131.476654       93.4147568               0.      -58.5646095
               36                2       110.790184       78.8707657               0.      -67.7651825
               36                3       114.257782       90.5730820               0.      -60.7689438
               36                4       93.4855347       76.7666016               0.      -68.7740555
               37                1       84.5521088       86.7673340               0.      -69.7642822
               37                2       93.3998947       115.273499               0.      -68.9320602
               37                3       96.0297928       111.609894               0.      -61.8086891
               37                4       104.478996       139.064117               0.      -59.0807953
               38                1       64.9343185       128.823883               0.      -34.8121872
               38                2       71.7725830       142.973709               0.      -15.2054195
               38                3       38.9661827       75.2200089               0.      -52.6158867
               38                4       55.9794579       109.958488               0.      -31.0078335
