********************************************************************************
Field Output Report, written Thu Apr 24 16:15:44 2025

Source 1
---------

   ODB: C:/lnms/Vid/CrossHoleSym/CrossHoleSymU.odb
   Step: loading
   Frame: Increment      0: Step Time =    0.000

Loc 1 : Integration point values from source 1

Output sorted by column "Element Label".

Field Output reported at integration points for region: SPECIMEN-1.Region_1

          Element              Int            S.S11            S.S22            S.S33            S.S12
            Label               Pt           @Loc 1           @Loc 1           @Loc 1           @Loc 1
-------------------------------------------------------------------------------------------------------
               18                1       124.901848       47.9090729               0.       36.2456970
               18                2       144.257889       67.5528030               0.       11.4256907
               18                3       82.2943039       23.2548561               0.       50.3860130
               18                4       120.118668       53.3209534               0.       23.2641087
               19                1       119.863724       69.9856415               0.       15.8619041
               19                2       118.893402       74.1186142               0.       10.1554470
               19                3       113.712379       89.5638275               0.       20.4664783
               19                4       108.760963       96.7655945               0.       17.5019150
               20                1       55.0958519       110.924919               0.       30.1485786
               20                2       71.4475098       143.317413               0.       15.0459137
               20                3       39.4645119       76.5484467               0.       52.1374702
               20                4       65.3953400       129.413849               0.       34.6064453
               21                1       139.264725       104.789345               0.      -59.1077805
               21                2       115.299515       93.4004745               0.      -69.0551987
               21                3       111.734123       96.4532776               0.      -61.8686333
               21                4       86.7537384       84.7332458               0.      -69.8942337
               22                1       76.8032761       93.6775360               0.      -68.9159927
               22                2       79.2181320       110.962822               0.      -67.9483414
               22                3       90.1875229       114.193726               0.      -61.0640526
               22                4       93.2691727       131.379303               0.      -58.9211617
               23                1       47.9090729       124.901848               0.      -36.2456970
               23                2       67.5528030       144.257889               0.      -11.4256907
               23                3       23.2548561       82.2943039               0.      -50.3860130
               23                4       53.3209534       120.118668               0.      -23.2641087
               24                1       69.9856415       119.863724               0.      -15.8619041
               24                2       74.1186142       118.893402               0.      -10.1554470
               24                3       89.5638275       113.712379               0.      -20.4664783
               24                4       96.7655945       108.760963               0.      -17.5019150
               25                1       110.924919       55.0958519               0.      -30.1485786
               25                2       143.317413       71.4475098               0.      -15.0459137
               25                3       76.5484467       39.4645119               0.      -52.1374702
               25                4       129.413849       65.3953400               0.      -34.6064453
               26                1       104.789345       139.264725               0.       59.1077805
               26                2       93.4004745       115.299515               0.       69.0551987
               26                3       96.4532776       111.734123               0.       61.8686333
               26                4       84.7332458       86.7537384               0.       69.8942337
               27                1       93.6775360       76.8032761               0.       68.9159927
               27                2       110.962822       79.2181320               0.       67.9483414
               27                3       114.193726       90.1875229               0.       61.0640526
               27                4       131.379303       93.2691727               0.       58.9211617
               28                1       124.901848       47.9090729               0.       36.2456970
               28                2       144.257889       67.5528030               0.       11.4256907
               28                3       82.2943039       23.2548561               0.       50.3860130
               28                4       120.118668       53.3209534               0.       23.2641087
               29                1       119.863724       69.9856415               0.       15.8619041
               29                2       118.893402       74.1186142               0.       10.1554470
               29                3       113.712379       89.5638275               0.       20.4664783
               29                4       108.760963       96.7655945               0.       17.5019150
               30                1       55.0958519       110.924919               0.       30.1485786
               30                2       71.4475098       143.317413               0.       15.0459137
               30                3       39.4645119       76.5484467               0.       52.1374702
               30                4       65.3953400       129.413849               0.       34.6064453
               31                1       93.2691727       131.379303               0.       58.9211617
               31                2       79.2181320       110.962822               0.       67.9483414
               31                3       90.1875229       114.193726               0.       61.0640526
               31                4       76.8032761       93.6775360               0.       68.9159927
               32                1       86.7537384       84.7332458               0.       69.8942337
               32                2       115.299515       93.4004745               0.       69.0551987
               32                3       111.734123       96.4532776               0.       61.8686333
               32                4       139.264725       104.789345               0.       59.1077805
               33                1       129.413849       65.3953400               0.       34.6064453
               33                2       143.317413       71.4475098               0.       15.0459137
               33                3       76.5484467       39.4645119               0.       52.1374702
               33                4       110.924919       55.0958519               0.       30.1485786
               34                1       96.7655945       108.760963               0.       17.5019150
               34                2       74.1186142       118.893402               0.       10.1554470
               34                3       89.5638275       113.712379               0.       20.4664783
               34                4       69.9856415       119.863724               0.       15.8619041
               35                1       53.3209534       120.118668               0.       23.2641087
               35                2       67.5528030       144.257889               0.       11.4256907
               35                3       23.2548561       82.2943039               0.       50.3860130
               35                4       47.9090729       124.901848               0.       36.2456970
               36                1       131.379303       93.2691727               0.      -58.9211617
               36                2       110.962822       79.2181320               0.      -67.9483414
               36                3       114.193726       90.1875229               0.      -61.0640526
               36                4       93.6775360       76.8032761               0.      -68.9159927
               37                1       84.7332458       86.7537384               0.      -69.8942337
               37                2       93.4004745       115.299515               0.      -69.0551987
               37                3       96.4532776       111.734123               0.      -61.8686333
               37                4       104.789345       139.264725               0.      -59.1077805
               38                1       65.3953400       129.413849               0.      -34.6064453
               38                2       71.4475098       143.317413               0.      -15.0459137
               38                3       39.4645119       76.5484467               0.      -52.1374702
               38                4       55.0958519       110.924919               0.      -30.1485786
               39                1       108.760963       96.7655945               0.      -17.5019150
               39                2       118.893402       74.1186142               0.      -10.1554470
               39                3       113.712379       89.5638275               0.      -20.4664783
               39                4       119.863724       69.9856415               0.      -15.8619041
               40                1       120.118668       53.3209534               0.      -23.2641087
               40                2       144.257889       67.5528030               0.      -11.4256907
               40                3       82.2943039       23.2548561               0.      -50.3860130
               40                4       124.901848       47.9090729               0.      -36.2456970


********************************************************************************
Field Output Report, written Thu Apr 24 16:16:11 2025

Source 1
---------

   ODB: C:/lnms/Vid/CrossHoleSym/CrossHoleSymU.odb
   Step: loading
   Frame: Increment      2: Step Time =   0.2000

Loc 1 : Integration point values from source 1

Output sorted by column "Element Label".

Field Output reported at integration points for region: SPECIMEN-1.Region_1

          Element              Int            S.S11            S.S22            S.S33            S.S12
            Label               Pt           @Loc 1           @Loc 1           @Loc 1           @Loc 1
-------------------------------------------------------------------------------------------------------
                1                1       161.458725       111.996712               0.      -79.5213318
                1                2       138.841431       107.190392               0.      -87.2685852
                1                3       136.138672       98.6925354               0.      -80.1211319
                1                4       112.485634       92.6838837               0.      -86.9846802
                2                1       101.854271       106.222733               0.      -87.7448349
                2                2       120.265831       143.567795               0.      -89.5406342
                2                3       111.068192       134.378296               0.      -80.4417648
                2                4       128.191742       171.291046               0.      -80.3029633
                3                1       84.8144913       164.654114               0.      -42.9631882
                3                2       88.1253738       178.278030               0.      -24.0593338
                3                3       57.4551201       111.333862               0.      -50.9533424
                3                4       63.1051712       130.252869               0.      -32.3881493
                4                1       126.769356       116.481888               0.      -18.5990028
                4                2       133.532196       86.5061417               0.      -11.0066414
                4                3       135.928314       111.251984               0.      -23.9346409
                4                4       139.326935       84.1720123               0.      -19.1667919
                5                1       145.702469       67.1951981               0.      -24.7045517
                5                2       183.476944       86.1387711               0.      -16.5769711
                5                3       124.181252       42.5726166               0.      -47.1539879
                5                4       164.302628       62.4188957               0.      -40.1632919
                6                1       171.291046       128.191742               0.      -80.3029633
                6                2       143.567795       120.265831               0.      -89.5406342
                6                3       134.378296       111.068192               0.      -80.4417648
                6                4       106.222733       101.854271               0.      -87.7448349
                7                1       92.6838837       112.485634               0.      -86.9846802
                7                2       107.190392       138.841431               0.      -87.2685852
                7                3       98.6925354       136.138672               0.      -80.1211319
                7                4       111.996712       161.458725               0.      -79.5213318
                8                1       62.4188957       164.302628               0.      -40.1632919
                8                2       86.1387711       183.476944               0.      -16.5769711
                8                3       42.5726166       124.181252               0.      -47.1539879
                8                4       67.1951981       145.702469               0.      -24.7045517
                9                1       84.1720123       139.326935               0.      -19.1667919
                9                2       86.5061417       133.532196               0.      -11.0066414
                9                3       111.251984       135.928314               0.      -23.9346409
                9                4       116.481888       126.769356               0.      -18.5990028
               10                1       130.252869       63.1051712               0.      -32.3881493
               10                2       178.278030       88.1253738               0.      -24.0593338
               10                3       111.333862       57.4551201               0.      -50.9533424
