********************************************************************************
Field Output Report, written Thu Apr 24 12:36:35 2025

Source 1
---------

   ODB: C:/lnms/Vid/cross-hole/PopravljeniRP2.odb
   Step: loading
   Frame: Increment      0: Step Time =    0.000

Loc 1 : Integration point values from source 1

Output sorted by column "Element Label".

Field Output reported at integration points for region: SPECIMEN-1.Region_1

          Element              Int            S.S11            S.S22            S.S33            S.S12
            Label               Pt           @Loc 1           @Loc 1           @Loc 1           @Loc 1
-------------------------------------------------------------------------------------------------------
               14                1   4.51774121E+03   5.73555273E+03               0.  -1.27241040E+03
               14                2   2.33181714E+03   5.08980469E+03               0.  -1.68442664E+03
               14                3   4.63721094E+03   6.62732910E+03               0.      -701.632507
               14                4   2.58339893E+03   6.08033496E+03               0.  -1.05051465E+03
               15                1   2.10647876E+03   7.18333301E+03               0.      -452.639404
               15                2   3.42381006E+03   11.6299248E+03               0.      -326.814880
               15                3       1.8545E+03   6.75727344E+03               0.       901.845642
               15                4   3.00988525E+03   10.7939180E+03               0.   1.45613330E+03
               16                1   4.94589600E+03   4.90865088E+03               0.   2.25426416E+03
               16                2   4.48376904E+03   3.97049756E+03               0.   2.69034595E+03
               16                3   4.65841602E+03   3.55004468E+03               0.   2.09132690E+03
               16                4   4.29373437E+03   2.73653955E+03               0.   2.39445850E+03
               17                1   4.83360889E+03   2.64139307E+03               0.   2.59728979E+03
               17                2   7.12126270E+03   3.72016553E+03               0.   3.42195337E+03
               17                3   6.11889893E+03   2.67175244E+03               0.   2.12410107E+03
               17                4   8.48667871E+03   3.67426245E+03               0.   2.79213599E+03
               18                1   10.7939180E+03   3.00988525E+03               0.   1.45613330E+03
               18                2   11.6299248E+03   3.42381006E+03               0.      -326.814880
               18                3   6.75727344E+03       1.8545E+03               0.       901.845642
               18                4   7.18333301E+03   2.10647876E+03               0.      -452.639404
               19                1   6.08033496E+03   2.58339893E+03               0.  -1.05051465E+03
               19                2   5.08980469E+03   2.33181714E+03               0.  -1.68442664E+03
               19                3   6.62732910E+03   4.63721094E+03               0.      -701.632507
               19                4   5.73555273E+03   4.51774121E+03               0.  -1.27241040E+03
               20                1   2.70510840E+03   4.47096973E+03               0.      -259.782990
               20                2   3.29973755E+03   6.40549561E+03               0.      -137.546707
               20                3   2.75573901E+03   4.35290137E+03               0.       136.380463
               20                4   3.34737012E+03   6.16928369E+03               0.       405.857208
               21                1   7.77617090E+03   5.65052295E+03               0.  -4.74000586E+03
               21                2   7.36258398E+03   5.93976123E+03               0.  -4.85796338E+03
               21                3   6.80987939E+03   5.09917187E+03               0.  -4.38488232E+03
               21                4   6.41817480E+03   5.25943848E+03               0.  -4.43817529E+03
               22                1   5.80014014E+03   6.06466553E+03               0.  -5.04643506E+03
               22                2   8.54031445E+03   9.39092871E+03               0.  -6.65523779E+03
               22                3   4.64237158E+03      7.43275E+03               0.  -4.80932471E+03
               22                4   6.95718262E+03   10.7780615E+03               0.  -6.25383545E+03
               23                1   4.37404883E+03   8.81372949E+03               0.  -4.86515771E+03
               23                2   3.13240283E+03   8.78760840E+03               0.  -4.24719385E+03
               23                3   3.42450098E+03   7.07240381E+03               0.  -4.24446045E+03
               23                4   2.45598022E+03   6.96245215E+03               0.  -3.75472266E+03
               24                1   2.78222778E+03   6.30941016E+03               0.  -3.34426807E+03
               24                2   2.49647510E+03   5.17796924E+03               0.  -2.60104150E+03
               24                3   5.17492285E+03   6.91476563E+03               0.  -3.71664746E+03
               24                4   5.04342139E+03   5.89608984E+03               0.  -3.04607617E+03
               25                1   5.70827051E+03   3.08169922E+03               0.  -2.44917725E+03
               25                2   7.81577637E+03   3.74254395E+03               0.  -2.64390112E+03
               25                3   5.61688184E+03   3.26316260E+03               0.  -2.87643530E+03
               25                4   7.60927490E+03   3.96829224E+03               0.  -3.22719922E+03
               26                1   2.95144214E+03   6.52621875E+03               0.   3.21888477E+03
               26                2   3.51316626E+03   6.09073193E+03               0.   3.31493335E+03
               26                3   2.14730566E+03   5.29326514E+03               0.   2.69281641E+03
               26                4   2.48389087E+03   4.86078271E+03               0.   2.71446265E+03
               27                1   2.84743164E+03   3.97704370E+03               0.   2.81452686E+03
               27                2   3.76269897E+03   5.02203613E+03               0.   3.35314038E+03
               27                3   3.08002881E+03   3.38099536E+03               0.   2.86311572E+03
               27                4   3.97530591E+03   4.22947705E+03               0.   3.37216772E+03
               28                1   2.11906958E+03   1.96884961E+03               0.   2.54189575E+03
               28                2   1.53519702E+03       843.112183               0.   3.11670654E+03
               28                3   3.16657690E+03   1.94725745E+03               0.   2.42820215E+03
               28                4   2.79208179E+03   1.11877917E+03               0.   2.84472705E+03
               29                1   3.04063477E+03   1.40565613E+03               0.   2.80032202E+03
               29                2   2.80832129E+03   1.36468115E+03               0.   2.38193188E+03
               29                3   3.42099951E+03   2.75048438E+03               0.   2.85142749E+03
               29                4   3.22495483E+03   2.78526929E+03               0.   2.46394385E+03
               30                1   1.71596838E+03   3.64745239E+03               0.   1.78586743E+03
               30                2   2.61824854E+03   6.63529932E+03               0.   1.89855603E+03
               30                3   1.69797559E+03   3.44192358E+03               0.   2.40640576E+03
               30                4   2.55983618E+03   6.24043018E+03               0.   2.75085010E+03
               31                1   4.22947705E+03   3.97530591E+03               0.   3.37216772E+03
               31                2   5.02203613E+03   3.76269897E+03               0.   3.35314038E+03
               31                3   3.38099536E+03   3.08002881E+03               0.   2.86311572E+03
               31                4   3.97704370E+03   2.84743164E+03               0.   2.81452686E+03
               32                1   4.86078271E+03   2.48389087E+03               0.   2.71446265E+03
               32                2   6.09073193E+03   3.51316626E+03               0.   3.31493335E+03
               32                3   5.29326514E+03   2.14730566E+03               0.   2.69281641E+03
               32                4   6.52621875E+03   2.95144214E+03               0.   3.21888477E+03
               33                1   6.24043018E+03   2.55983618E+03               0.   2.75085010E+03
               33                2   6.63529932E+03   2.61824854E+03               0.   1.89855603E+03
               33                3   3.44192358E+03   1.69797559E+03               0.   2.40640576E+03
               33                4   3.64745239E+03   1.71596838E+03               0.   1.78586743E+03
               34                1   2.78526929E+03   3.22495483E+03               0.   2.46394385E+03
               34                2   1.36468115E+03   2.80832129E+03               0.   2.38193188E+03
               34                3   2.75048438E+03   3.42099951E+03               0.   2.85142749E+03
               34                4   1.40565613E+03   3.04063477E+03               0.   2.80032202E+03
               35                1   1.11877917E+03   2.79208179E+03               0.   2.84472705E+03
               35                2       843.112183   1.53519702E+03               0.   3.11670654E+03
               35                3   1.94725745E+03   3.16657690E+03               0.   2.42820215E+03
               35                4   1.96884961E+03   2.11906958E+03               0.   2.54189575E+03
               36                1   1.48081787E+03       797.470581               0.       172.265198
               36                2   1.26509192E+03      -125.533615               0.      -32.2144203
               36                3   1.76860144E+03   1.45121936E+03               0.      -204.810074
               36                4   1.61170630E+03       741.184753               0.      -397.119171
               37                1   1.56403101E+03   1.12938892E+03               0.      -757.822815
               37                2   2.10271411E+03   2.70520801E+03               0.  -1.23773840E+03
               37                3   1.78720056E+03   2.02190649E+03               0.      -472.002533
               37                4   2.33698901E+03   3.70823047E+03               0.      -804.053833
               38                1   2.00306506E+03   4.81909668E+03               0.       70.5774612
               38                2   2.16480103E+03   5.22488818E+03               0.       885.108521
               38                3   1.22151453E+03   2.16161450E+03               0.       371.494934
               38                4   1.31588733E+03   2.37920410E+03               0.       963.492310
               39                1   3.00210864E+03   2.23378076E+03               0.   2.02656592E+03
               39                2   2.68924780E+03   1.18941309E+03               0.   2.04525342E+03
               39                3   3.02841895E+03   2.17346582E+03               0.   1.73923364E+03
               39                4   2.73441260E+03   1.18206824E+03               0.   1.73756824E+03
               40                1   2.93972046E+03       748.360718               0.   1.48104395E+03
